ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-2333,3,PROSCIUTTO SLICED SAN DANIELE,1.000,Kg,1.000,Kg,DELI & PREPARED MEAT
I-3700,,YEAST BAKERS FRSH,24.000,lb,1.000,lb,FOOD - GROCERY
