IngredientId,Qty,Uom,Conversion,InvFactor,Recipe
I-2251,15.000,oz,0.02639764,1.0000,R-54439
I-37651,1.000,each,1.00000000,1.0000,R-54439
I-52773,1.000,each,1.00000000,1.0000,R-55366
I-2060,75.000,g,0.00100000,1.0000,R-60823
I-2333,64.000,g,0.00100000,1.0000,R-60823
I-26468,40.000,g,1.00000000,1.0000,R-60823
I-2903,5.000,ml,0.00100000,1.0000,R-60823
I-29439,250.000,g,0.00100000,1.0000,R-60823
I-2948,90.000,g,0.00100000,1.0000,R-60823
P-34534,3.000,g,0.03527399,1.0000,R-60823
I-2060,75.000,g,0.00100000,1.0000,R-60824
I-2903,5.000,ml,0.00100000,1.0000,R-60824
I-2911,1.000,oz,0.02834950,1.0000,R-60824
I-29439,250.000,g,0.00100000,1.0000,R-60824
I-2948,90.000,g,0.00100000,1.0000,R-60824
I-8260,50.000,g,0.00100000,1.0000,R-60824
I-9702,2.000,g,0.00100000,1.0000,R-60824
P-34541,30.000,g,0.00100000,1.0000,R-60824
P-34666,50.000,g,0.00100000,1.0000,R-60824
I-2060,75.000,g,0.00100000,1.0000,R-60825
I-2903,5.000,ml,0.00100000,1.0000,R-60825
I-29439,250.000,g,0.00100000,1.0000,R-60825
I-4463,10.000,g,0.00220462,1.0000,R-60825
I-6869,80.000,g,0.00100000,1.0000,R-60825
P-34534,3.000,g,0.03527399,1.0000,R-60825
P-34535,70.000,g,0.00100000,1.0000,R-60825
P-43917,40.000,g,1.00000000,1.0000,R-60825
I-2060,75.000,g,0.00100000,1.0000,R-60826
I-2333,45.000,g,0.00100000,1.0000,R-60826
I-2903,5.000,ml,0.00100000,1.0000,R-60826
I-29439,250.000,g,0.00100000,1.0000,R-60826
I-6869,45.000,g,0.00100000,1.0000,R-60826
P-34534,3.000,g,0.03527399,1.0000,R-60826
P-34666,45.000,g,0.00100000,1.0000,R-60826
I-2060,75.000,g,0.00100000,1.0000,R-60827
I-29439,250.000,g,0.00100000,1.0000,R-60827
I-4463,15.000,g,0.00220462,1.0000,R-60827
P-43917,40.000,g,1.00000000,1.0000,R-60827
P-48870,90.000,g,0.00100000,1.0000,R-60827
P-56730,30.000,ml,0.00100000,1.0000,R-60827
I-2060,75.000,g,0.00100000,1.0000,R-60828
I-2903,5.000,ml,0.00100000,1.0000,R-60828
I-29439,250.000,g,0.00100000,1.0000,R-60828
I-4463,10.000,g,0.00220462,1.0000,R-60828
P-34534,3.000,g,0.03527399,1.0000,R-60828
P-34535,70.000,g,0.00100000,1.0000,R-60828
P-34541,30.000,g,0.00100000,1.0000,R-60828
P-43917,40.000,g,1.00000000,1.0000,R-60828
P-5962,90.000,ml,0.00100000,1.0000,R-60828
R-60775,1.000,ea,1.00000000,1.0000,R-61211
I-2060,30.000,g,0.00100000,1.0000,R-61579
I-2948,45.000,g,0.00100000,1.0000,R-61579
I-4463,20.000,g,0.00220462,1.0000,R-61579
I-6869,45.000,g,0.00100000,1.0000,R-61579
I-8260,45.000,g,0.00100000,1.0000,R-61579
P-34535,45.000,g,0.00100000,1.0000,R-61579
P-34541,45.000,g,0.00100000,1.0000,R-61579
P-43917,45.000,g,1.00000000,1.0000,R-61579
P-5962,45.000,ml,0.00100000,1.0000,R-61579
P-6846,200.000,g,0.00100000,1.0000,R-61579
